Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_8503	0	1
SRR2075686_rloop_peak_8499	0	1
SRR2075686_rloop_peak_8492	0	1
SRR2075686_rloop_peak_8465	0	1
SRR2075686_rloop_peak_8461	0	1
SRR2075686_rloop_peak_8454	0	1
SRR2075686_rloop_peak_8443	0	1
SRR2075686_rloop_peak_8436	0	1
SRR2075686_rloop_peak_8433	0	1
SRR2075686_rloop_peak_8432	0	1
SRR2075686_rloop_peak_8429	0	1
SRR2075686_rloop_peak_8424	0	1
SRR2075686_rloop_peak_8419	0	1
SRR2075686_rloop_peak_8416	0	1
SRR2075686_rloop_peak_8414	0	1
SRR2075686_rloop_peak_8404	0	1
SRR2075686_rloop_peak_8402	0	1
SRR2075686_rloop_peak_8395	0	1
SRR2075686_rloop_peak_8391	0	1
SRR2075686_rloop_peak_839	0	1
SRR2075686_rloop_peak_8389	0	1
SRR2075686_rloop_peak_8358	0	1
SRR2075686_rloop_peak_8339	0	1
SRR2075686_rloop_peak_8328	0	1
SRR2075686_rloop_peak_8327	0	1
SRR2075686_rloop_peak_8316	0	1
SRR2075686_rloop_peak_8309	0	1
SRR2075686_rloop_peak_8307	0	1
SRR2075686_rloop_peak_8306	0	1
SRR2075686_rloop_peak_8300	0	1
SRR2075686_rloop_peak_8283	0	1
SRR2075686_rloop_peak_8272	0	1
SRR2075686_rloop_peak_8266	0	1
SRR2075686_rloop_peak_8255	0	1
SRR2075686_rloop_peak_824	0	1
SRR2075686_rloop_peak_8235	0	1
SRR2075686_rloop_peak_822	0	1
SRR2075686_rloop_peak_8213	0	1
SRR2075686_rloop_peak_8202	0	1
SRR2075686_rloop_peak_820	0	1
SRR2075686_rloop_peak_8191	0	1
SRR2075686_rloop_peak_8163	0	1
SRR2075686_rloop_peak_8155	0	1
SRR2075686_rloop_peak_8153	0	1
SRR2075686_rloop_peak_8151	0	1
SRR2075686_rloop_peak_8149	0	1
SRR2075686_rloop_peak_8137	0	1
SRR2075686_rloop_peak_813	0	1
SRR2075686_rloop_peak_8129	0	1
SRR2075686_rloop_peak_8127	0	1
SRR2075686_rloop_peak_8125	0	1
SRR2075686_rloop_peak_8124	0	1
SRR2075686_rloop_peak_8110	0	1
SRR2075686_rloop_peak_8108	0	1
SRR2075686_rloop_peak_8103	0	1
SRR2075686_rloop_peak_8091	0	1
SRR2075686_rloop_peak_8084	0	1
SRR2075686_rloop_peak_8080	0	1
SRR2075686_rloop_peak_8079	0	1
SRR2075686_rloop_peak_8077	0	1
